y,x
-13231.866529487917,-66.33425309983272
-2587949.6395109375,928.8731660985775
-2728141.6240868373,-953.5314814495486
-2137635.3550862516,-844.0409418614954
-1259667.3981512843,-647.905714666867
-16396.014099963966,-73.84914697425836
-44466.62622215748,-121.66592683620638
-1314335.2070967252,-661.8172704660736
-2573327.2783051757,-926.078873327125
-1819720.637236539,-778.7454150809918
-2486990.30232413,910.5762992877594
-2514816.719115006,915.655784489501
-185515.77114634542,248.7583501589611
-1056545.5254838108,593.5330072224072
-2716953.463464516,-951.5740777654734
-1226133.268242312,639.3890215805247
-516244.5453991717,-414.74456922888385
-740019.5259394279,496.74604476258264
-2986336.302436784,-997.6371223839511
-14891.444984947691,-70.37579386885159
